kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_num_transits,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag,ra,dec
9973855,K01966.01,FALSE POSITIVE,2.95600563,2.6717,76.1,363.0,35.5,0.81,1211.0,509.55,5668.0,4.472,0.916,0.908,12.58,299.77972,46.890469
10019399,K01796.01,FALSE POSITIVE,11.805707539,2.0494,2052.1,114.0,124.9,18.48,1153.0,417.85,6065.0,3.888,1.891,1.006,12.829,294.91611,46.944977
7841368,K07851.01,FALSE POSITIVE,25.3710555,3.739,78.6,53.0,8.3,1.43,779.0,87.17,6029.0,4.127,1.494,1.091,13.78,297.58942,43.516178
10028352,K01957.01,CANDIDATE,1.38680229,1.7065,242.3,766.0,84.4,29.33,2530.0,9703.01,6823.0,4.04,2.037,1.66,12.655,297.79224,46.935829
10031707,K01827.01,FALSE POSITIVE,8.58966893,6.962,429.6,122.0,47.5,155.18,4900.0,136317.25,3837.0,0.829,80.307,1.585,13.866,298.77295,46.921246
10092312,K01823.01,FALSE POSITIVE,4.468456599,1.4195,906.7,233.0,39.1,24.81,1081.0,321.94,5869.0,4.513,0.942,1.054,13.954,297.78775,47.098331
10407054,K02500.01,FALSE POSITIVE,0.933754669,4.048,89.3,1441.0,43.2,1.48,2475.0,8881.31,6443.0,4.146,1.457,1.083,13.343,292.77899,47.552216
10880007,K02502.01,FALSE POSITIVE,86.79876649,2.99,,,,,,,,,,,15.092,298.50989,48.240139
8418129,K02515.01,FALSE POSITIVE,164.57506747,9.57,,,,,,,,,,,13.215,286.2872,44.49371
6525185,K02568.01,FALSE POSITIVE,1.71030803,2.718,216.0,785.0,21.0,1.32,1449.0,1039.18,5790.0,4.528,0.9,0.998,15.862,292.71548,41.943562
10812504,K02570.01,FALSE POSITIVE,79.9201319,4.482,1326.8,14.0,21.9,1.81,217.0,0.53,3812.0,4.767,0.476,0.484,15.577,297.29269,48.11438
8107115,K02575.01,FALSE POSITIVE,199.3113,6.43,383.6,,6.5,1.64,278.0,1.42,5662.0,4.577,0.789,0.859,15.37,295.06677,43.98209
10663411,K02584.01,FALSE POSITIVE,157.82131,12.42,192.3,,6.9,1.59,377.0,4.75,6082.0,4.342,1.147,1.054,14.856,290.98767,47.976639
10090219,K03978.01,FALSE POSITIVE,2.28612573,12.408,301.6,476.0,45.3,22.63,1433.0,993.96,6063.0,4.476,1.012,1.117,15.116,297.21194,47.027802
9205938,K02162.02,CONFIRMED,199.66876,8.996,251.9,7.0,13.9,1.45,305.0,2.06,5678.0,4.409,0.921,0.794,14.033,285.69199,45.689388
9899217,K03979.01,FALSE POSITIVE,1.33254971,4.69,158.3,1007.0,35.3,1.36,1782.0,2377.19,6150.0,4.41,1.004,0.946,15.271,295.16199,46.76273
6750902,K03980.01,FALSE POSITIVE,0.469334634,0.8864,340.4,1425.0,49.1,2.4,2432.0,8264.27,5888.0,4.394,1.008,0.918,14.67,281.24307,42.254929
5895588,K03981.01,FALSE POSITIVE,0.849277809,3.137,690.8,1333.0,17.1,20.11,1781.0,2366.84,5743.0,4.553,0.853,0.949,15.845,296.99405,41.129471
6803855,K01695.01,CONFIRMED,71.4523167,6.276,216.9,19.0,16.6,2.19,561.0,23.44,6148.0,4.132,1.488,1.094,13.781,298.31445,42.24744
6891366,K01696.01,FALSE POSITIVE,1.752564549,3.503,116.6,766.0,38.0,1.38,1741.0,2174.09,6221.0,4.333,1.18,1.09,13.608,298.77509,42.39323
7448023,K07839.01,FALSE POSITIVE,0.566816802,1.981,94.0,2305.0,12.9,0.68,1585.0,1483.43,4665.0,4.584,0.704,0.695,15.678,292.75653,43.036888
6891637,K01697.01,FALSE POSITIVE,1.752553762,3.877,414.7,748.0,32.5,1.06,933.0,178.74,4408.0,4.713,0.529,0.528,15.828,298.8222,42.394642
6975615,K01698.01,FALSE POSITIVE,2.065351521,2.661,173.2,648.0,25.3,1.03,1196.0,485.51,5266.0,4.536,0.749,0.702,14.788,298.49808,42.466412
7137725,K01699.01,FALSE POSITIVE,2.253551793,3.66,119.6,599.0,42.1,1.7,1812.0,2547.01,6526.0,4.217,1.426,1.226,13.121,297.12173,42.673321
10153855,K01981.01,CONFIRMED,1.06378861,1.072,251.5,1004.0,21.5,1.61,1650.0,1761.19,5265.0,4.4,1.002,0.919,14.229,296.34103,47.17086
10230571,K01926.01,FALSE POSITIVE,123.11494773,17.24,,,,,,,,,,,9.473,299.2529,47.278999
10294613,K01896.01,FALSE POSITIVE,1.854493861,4.2367,1287.3,573.0,108.2,29.39,1291.0,657.94,5431.0,4.563,0.843,0.945,14.898,298.73807,47.381741
7879648,K07852.01,FALSE POSITIVE,1.020713389,0.873,102.3,1314.0,11.3,0.9,1724.0,2079.36,5815.0,4.52,0.87,0.913,15.186,287.24149,43.679661
10491044,K01763.01,FALSE POSITIVE,2.1990638,3.197,344.8,491.0,19.3,1.33,1087.0,330.97,5003.0,4.572,0.707,0.681,15.957,298.77988,47.66095
10614012,K01807.01,FALSE POSITIVE,132.1331011,26.715,7956.2,8.0,284.3,75.08,809.0,101.41,5067.0,2.877,8.121,1.812,9.715,296.92874,47.88295
10616415,K01999.01,FALSE POSITIVE,1.120646438,1.7664,322.5,475.0,45.7,89.35,2783.0,14127.22,4972.0,3.449,4.034,1.668,13.695,297.61398,47.811401
6525193,K02653.01,FALSE POSITIVE,1.710279417,2.252,228.8,784.0,19.9,1.57,1524.0,1272.5,5834.0,4.472,1.023,1.132,15.795,292.71729,41.901218
6866251,K02661.01,FALSE POSITIVE,65.238281,5.756,197.2,,10.3,5.18,734.0,68.49,5254.0,3.506,3.761,1.653,11.479,292.74707,42.379929
7117710,K07817.01,FALSE POSITIVE,0.56679641,2.324,26.7,2368.0,14.1,0.46,1940.0,3349.38,5403.0,4.54,0.888,0.998,13.686,291.77136,42.671249
7762723,K02663.01,CONFIRMED,9.88736642,4.23,68.0,134.0,14.6,0.68,768.0,82.32,5693.0,4.57,0.816,0.911,13.461,294.99725,43.435921
4178606,K02728.01,CONFIRMED,42.3520039,7.773,512.6,25.0,30.5,6.3,938.0,182.91,6864.0,3.783,2.632,1.535,12.852,296.22214,39.268959
5980208,K02742.01,CONFIRMED,0.789160884,0.9268,215.1,1696.0,23.6,0.91,1244.0,564.46,4258.0,4.635,0.622,0.61,15.031,297.07379,41.22448
5303557,K03982.01,FALSE POSITIVE,2.399081606,4.384,6071.6,260.0,89.9,40.6,1360.0,810.78,5780.0,4.438,1.0,1.0,16.494,298.57697,40.490395
10227863,K03983.01,FALSE POSITIVE,5.14072621,27.24,145.6,213.0,44.5,19.28,1076.0,317.19,5751.0,4.389,1.035,0.956,13.753,298.55258,47.247318
7281668,K07829.01,FALSE POSITIVE,0.566798545,5.224,36.9,2367.0,23.3,0.53,2004.0,3787.58,5629.0,4.553,0.87,0.987,13.519,291.67123,42.812359
8036287,K03984.01,CONFIRMED,1.44445234,0.9753,200.7,925.0,20.9,2.03,1800.0,2479.44,5305.0,4.088,1.449,0.939,14.536,294.38538,43.82547
9602562,K03985.01,FALSE POSITIVE,3.55653637,8.7,202.5,305.0,23.1,1.7,1272.0,619.57,5950.0,4.395,1.114,1.126,14.377,297.1322,46.256489
10668665,K03986.01,FALSE POSITIVE,9.60853601,3.672,584.4,116.0,19.3,31.99,984.0,221.77,6377.0,4.398,1.158,1.225,15.974,293.09589,47.996578
10407020,K03987.01,FALSE POSITIVE,0.933747751,3.9236,76.6,1440.0,49.5,2.07,3112.0,22250.69,6985.0,3.936,2.187,1.502,13.369,292.76535,47.512272
7380829,K01703.01,FALSE POSITIVE,3.17463577,10.988,405.9,426.0,83.1,9.32,1296.0,667.65,5999.0,4.417,0.996,0.945,14.934,296.74991,42.952358
7470491,K07840.01,FALSE POSITIVE,0.902222843,2.0516,29.7,1485.0,5.1,48.23,10340.0,2710661.9,3705.0,0.798,89.806,1.847,13.547,298.14603,43.075199
7768952,K01709.01,FALSE POSITIVE,22.4685309,3.034,242.3,59.0,21.3,20.05,1040.0,276.85,5461.0,3.566,3.301,1.463,13.301,296.80951,43.450851
8162790,K01712.01,FALSE POSITIVE,10.16104834,3.0448,908.9,113.0,36.8,2.72,800.0,96.98,5636.0,4.462,0.913,0.881,15.047,290.73578,44.090488
9655129,K01714.01,FALSE POSITIVE,2.743978797,6.442,39994.0,491.0,56.5,38.11,1136.0,392.49,5334.0,4.492,0.81,0.743,13.805,294.24811,46.374008
9899483,K01719.01,FALSE POSITIVE,1.332561398,4.103,150.6,1007.0,77.1,2.16,2276.0,6330.12,6468.0,4.107,1.602,1.195,13.616,295.25388,46.76136
10917681,K01963.01,CANDIDATE,12.89623554,2.625,426.6,107.0,32.9,2.55,783.0,89.02,6072.0,4.51,0.923,1.005,14.107,290.60745,48.357182
7882360,K07853.01,FALSE POSITIVE,364.14397,15.37,513.5,3.0,9.3,2.2,259.0,1.06,6039.0,4.493,0.951,1.027,15.508,288.59802,43.681469
10965740,K01887.01,FALSE POSITIVE,21.78769087,4.498,507.7,50.0,38.1,71.95,1042.0,278.24,5627.0,3.633,3.05,1.456,12.967,286.46616,48.495918
